pokedex_id,latitude,longitude,local_time,close_to_water,city,weather,temperature,population_density,google_types
2745,128,43.769096999999995,-79.209823,2016-09-04T01:57:54,True,Toronto,Clear,17.0,3249.4587,[]
2746,16,43.18846,-79.207002,2016-09-04T01:57:44,True,Toronto,Clear,17.5,1361.0005,"['spa', 'painter', 'beauty_salon']"
2747,13,43.771481,-79.210792,2016-09-04T01:57:44,True,Toronto,Clear,17.0,3249.4587,"['electrician', 'transit_station', 'store', 'home_goods_store']"
2748,128,43.769517,-79.210352,2016-09-04T01:57:40,True,Toronto,Clear,17.0,3249.4587,[]
2749,96,43.772154,-79.210087,2016-09-04T01:57:15,True,Toronto,Clear,17.0,3249.4587,"['hair_care', 'beauty_salon', 'restaurant', 'store', 'home_goods_store', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store', 'pharmacy']"
2750,18,43.770783,-79.215111,2016-09-04T01:57:01,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'laundry']"
2751,13,43.771071,-79.215023,2016-09-04T01:56:56,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2752,19,43.771367,-79.211145,2016-09-04T01:56:55,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'electrician', 'store', 'home_goods_store']"
2753,96,43.769748,-79.215111,2016-09-04T01:55:52,True,Toronto,Clear,17.0,3249.4587,['laundry']
2754,48,43.186526,-79.210263,2016-09-04T01:55:47,True,Toronto,Clear,17.5,1361.0005,"['cafe', 'funeral_home', 'store', 'atm', 'convenience_store', 'gas_station']"
2755,41,43.769809,-79.212643,2016-09-04T01:55:37,True,Toronto,Clear,17.0,3249.4587,[]
2756,10,43.771438,-79.209558,2016-09-04T01:55:31,True,Toronto,Clear,17.0,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store', 'pharmacy']"
2757,29,43.188404999999996,-79.211145,2016-09-04T01:55:02,True,Toronto,Clear,17.5,1361.0005,['transit_station']
2758,133,43.187416,-79.211762,2016-09-04T01:53:27,True,Toronto,Clear,17.5,1361.0005,['moving_company']
2759,49,43.189271999999995,-79.213965,2016-09-04T01:53:14,True,Toronto,Clear,17.5,1361.0005,[]
2760,21,43.187017,-79.211497,2016-09-04T01:52:58,True,Toronto,Clear,17.5,1361.0005,['moving_company']
2761,96,43.769451000000004,-79.214318,2016-09-04T01:52:11,True,Toronto,Clear,17.0,3249.4587,['laundry']
2762,96,43.770844,-79.212643,2016-09-04T01:51:09,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2763,8,43.771361999999996,-79.212643,2016-09-04T01:50:55,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2764,10,43.188559999999995,-79.207267,2016-09-04T01:50:42,True,Toronto,Clear,17.5,1361.0005,"['spa', 'painter', 'beauty_salon']"
2765,96,43.768148,-79.207619,2016-09-04T01:50:32,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2766,92,43.774237,-79.21255500000001,2016-09-04T01:50:27,True,Toronto,Clear,17.0,3249.4587,"['clothing_store', 'store']"
2767,16,43.771618,-79.209118,2016-09-04T01:49:35,True,Toronto,Clear,17.0,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'post_office', 'convenience_store', 'pharmacy']"
2768,13,43.769994,-79.210704,2016-09-04T01:49:34,True,Toronto,Clear,17.0,3249.4587,[]
2769,46,43.188038,-79.208853,2016-09-04T01:49:33,True,Toronto,Clear,17.5,1361.0005,['real_estate_agency']
2770,124,43.771321,-79.21299599999999,2016-09-04T01:48:55,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2771,90,43.768927000000005,-79.211145,2016-09-04T01:48:04,True,Toronto,Clear,17.0,3249.4587,[]
2772,41,43.771744,-79.21044,2016-09-04T01:47:55,True,Toronto,Clear,17.0,3249.4587,"['hair_care', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store']"
2773,96,43.768367,-79.214582,2016-09-04T01:42:43,True,Toronto,Clear,17.0,3249.4587,['gym']
2774,96,43.771575,-79.21255500000001,2016-09-04T01:42:24,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2775,128,43.767414,-79.21467,2016-09-04T01:40:20,True,Toronto,Clear,17.0,3249.4587,[]
2776,41,43.769740000000006,-79.215023,2016-09-04T01:40:01,True,Toronto,Clear,17.0,3249.4587,['laundry']
2777,41,43.772693,-79.208765,2016-09-04T01:39:14,True,Toronto,Clear,17.0,3249.4587,['beauty_salon']
2778,129,43.767577,-79.214053,2016-09-04T01:38:56,True,Toronto,Clear,17.0,3249.4587,[]
2779,96,43.771308000000005,-79.21440600000001,2016-09-04T01:37:41,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2780,69,43.769434999999994,-79.214934,2016-09-04T01:37:28,True,Toronto,Clear,17.0,3249.4587,"['laundry', 'gym']"
2781,96,43.771606,-79.211321,2016-09-04T01:36:16,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'electrician']"
2782,96,43.771547999999996,-79.211497,2016-09-04T01:35:35,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'electrician']"
2783,29,43.771231,-79.20894100000001,2016-09-04T01:34:25,True,Toronto,Clear,17.0,3249.4587,"['school', 'hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'post_office', 'primary_school', 'convenience_store', 'pharmacy']"
2784,96,43.773666999999996,-79.211233,2016-09-04T01:34:00,True,Toronto,Clear,17.0,3249.4587,[]
2785,96,43.768974,-79.210087,2016-09-04T01:33:27,True,Toronto,Clear,17.0,3249.4587,[]
2786,41,43.771218,-79.215023,2016-09-04T01:32:54,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2787,41,43.770511,-79.214582,2016-09-04T01:32:48,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'laundry']"
2788,96,43.769779,-79.209999,2016-09-04T01:32:04,True,Toronto,Clear,17.0,3249.4587,[]
2789,96,43.771873,-79.20947,2016-09-04T01:31:25,True,Toronto,Clear,17.0,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store', 'pharmacy']"
2790,10,43.77264,-79.215199,2016-09-04T01:31:20,True,Toronto,Clear,17.0,3249.4587,[]
2791,90,43.769983,-79.209029,2016-09-04T01:28:12,True,Toronto,Clear,17.0,3249.4587,[]
2792,16,43.771766,-79.209118,2016-09-04T01:27:58,True,Toronto,Clear,17.0,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'post_office', 'convenience_store', 'pharmacy']"
2793,96,43.773148,-79.214318,2016-09-04T01:26:35,True,Toronto,Clear,17.0,3249.4587,[]
2794,96,43.770302,-79.21705,2016-09-04T01:26:27,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2795,96,43.769687,-79.209029,2016-09-04T01:25:49,True,Toronto,Clear,17.0,3249.4587,[]
2796,98,43.774069,-79.21467,2016-09-04T01:22:41,True,Toronto,Clear,17.0,3249.4587,[]
2797,96,43.769493,-79.21475799999999,2016-09-04T01:22:08,True,Toronto,Clear,17.0,3249.4587,['laundry']
2798,92,43.77193,-79.209294,2016-09-04T01:21:34,True,Toronto,Clear,17.0,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'post_office', 'convenience_store', 'pharmacy']"
2799,96,43.771555,-79.21467,2016-09-04T01:21:05,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2800,124,43.771141,-79.213436,2016-09-04T01:19:00,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2801,41,43.770144,-79.211497,2016-09-04T01:03:12,True,Toronto,Clear,17.0,3249.4587,[]
2802,90,43.771557,-79.211585,2016-09-04T01:00:21,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'electrician']"
2803,119,43.771481,-79.210792,2016-09-04T00:57:44,True,Toronto,Clear,17.0,3249.4587,"['electrician', 'transit_station', 'store', 'home_goods_store']"
2804,90,43.771367,-79.211145,2016-09-04T00:56:55,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'electrician', 'store', 'home_goods_store']"
2805,128,43.769809,-79.212643,2016-09-04T00:55:37,True,Toronto,Clear,17.0,3249.4587,[]
2806,116,43.770844,-79.212643,2016-09-04T00:51:09,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2807,96,43.771361999999996,-79.212643,2016-09-04T00:50:55,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2808,96,43.769994,-79.210704,2016-09-04T00:49:34,True,Toronto,Clear,17.0,3249.4587,[]
2809,98,43.771575,-79.21255500000001,2016-09-04T00:42:24,True,Toronto,Clear,17.0,3249.4587,['transit_station']
2810,92,43.771606,-79.211321,2016-09-04T00:36:16,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'electrician']"
2811,32,43.771547999999996,-79.211497,2016-09-04T00:35:35,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'electrician']"
2812,96,43.768974,-79.210087,2016-09-04T00:33:27,True,Toronto,Clear,17.0,3249.4587,[]
2813,86,43.769779,-79.209999,2016-09-04T00:32:04,True,Toronto,Clear,17.0,3249.4587,[]
2814,46,43.770317999999996,-79.21255500000001,2016-09-04T00:13:16,True,Toronto,Clear,17.0,3249.4587,[]
2815,92,43.769937,-79.21088,2016-09-04T00:12:19,True,Toronto,Clear,17.0,3249.4587,[]
2816,96,43.673024,-79.518759,2016-09-04T00:05:52,True,Toronto,Clear,19.5,2914.5193,['park']
2817,19,43.760253999999996,-79.46261,2016-09-04T00:05:06,False,Toronto,Clear,19.5,3756.671,"['school', 'park']"
2818,96,43.770144,-79.211497,2016-09-04T00:03:12,True,Toronto,Clear,17.0,3249.4587,[]
2819,96,43.770511,-79.214582,2016-09-04T00:02:48,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'laundry']"
2820,96,43.771557,-79.211585,2016-09-04T00:00:21,True,Toronto,Clear,17.0,3249.4587,"['transit_station', 'electrician']"
2821,96,43.644925,-79.610773,2016-09-03T23:58:44,True,Toronto,Clear,19.5,2521.0115,"['transit_station', 'bus_station']"
2822,129,43.681019,-79.684457,2016-09-03T23:58:26,False,Toronto,Clear,19.5,2521.0115,[]
2823,16,43.771367,-79.211145,2016-09-03T23:56:55,True,Toronto,Clear,19.4,3249.4587,"['transit_station', 'electrician', 'store', 'home_goods_store']"
2824,46,43.769809,-79.212643,2016-09-03T23:55:37,True,Toronto,Clear,19.4,3249.4587,[]
2825,96,43.768896000000005,-79.216256,2016-09-03T23:52:54,True,Toronto,Clear,19.4,3249.4587,['gym']
2826,96,43.770844,-79.212643,2016-09-03T23:51:09,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2827,48,43.774237,-79.21255500000001,2016-09-03T23:50:27,True,Toronto,Clear,19.4,3249.4587,"['clothing_store', 'store']"
2828,17,43.771618,-79.209118,2016-09-03T23:49:35,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'post_office', 'convenience_store', 'pharmacy']"
2829,98,43.769994,-79.210704,2016-09-03T23:49:34,True,Toronto,Clear,19.4,3249.4587,[]
2830,96,43.771321,-79.21299599999999,2016-09-03T23:48:55,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2831,96,43.768927000000005,-79.211145,2016-09-03T23:48:04,True,Toronto,Clear,19.4,3249.4587,[]
2832,92,43.771744,-79.21044,2016-09-03T23:47:55,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store']"
2833,10,43.772403000000004,-79.207267,2016-09-03T23:47:55,True,Toronto,Clear,19.4,3249.4587,[]
2834,42,43.769009999999994,-79.207355,2016-09-03T23:47:20,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2835,19,43.768506,-79.21449399999999,2016-09-03T23:46:54,True,Toronto,Clear,19.4,3249.4587,['gym']
2836,96,43.774213,-79.213084,2016-09-03T23:46:33,True,Toronto,Clear,19.4,3249.4587,"['clothing_store', 'store']"
